;Worldwide Navigation Database
;Exported via DFD v1.0 19.1003
;Software copyright (c) 2019 Richard Stefan, NAVData-Service
;Support available via forum at http://forum.navigraph.com
;
;Data provided by Navigraph - www.navigraph.com
;Source data copyright (c) 2019 Jeppesen
;This data may be used for ground based recreational computer game
;simulation software only, and may not be recompiled, interpreted,
;or distributed for any purpose without the written consent of Navigraph.
;The contents of this database is dated and must not be used for real
;world navigation as it is unlawful and unsafe to do so.
;
;------------------------------------------------------
;AIRAC Cycle : 1804 (29/MAR/2018 - 26/APR/2018) - Ver.1
;------------------------------------------------------
AGGR 30  -11.552433 160.065786 309 00720
AGGS 10   -8.577350 157.871589 106 00915
AGGS 28   -8.579597 157.879750 286 00915
AGGT 11  -10.846514 162.451356 120 00820
AGGT 29  -10.850181 162.457756 300 00820
AGGU 05   -9.864250 160.822567 059 00800
AGGU 23   -9.864250 160.822567 239 00800
AGGV 04   -7.587656 158.728653 048 00850
AGGV 22   -7.582537 158.734390 228 00850
AGGY 12   -9.092836 159.218578 128 00930
AGGY 30   -9.098014 159.225244 308 00930
AGKG 14   -7.328832 157.584885 148 00740
AGKG 32   -7.334480 157.588455 328 00740
AGLM 10  -10.294722 166.319444 110 01000
AGLM 28  -10.294722 166.319444 290 01000
AGOB 12   -8.321450 160.795867 129 01000
AGOB 30   -8.321450 160.795867 309 01000
AGRC 01   -8.118333 157.141667 018 00750
AGRC 19   -8.118333 157.141667 198 00750
AK33 07   55.802222-160.897222 088 00296
AK33 12   55.802222-160.897222 138 00332
AK33 25   55.802222-160.897222 268 00296
AK33 30   55.802222-160.897222 318 00332
AK51 05   60.198639-154.324706 070 01280
AK51 23   60.198639-154.324706 250 01280
AK71 07   70.911697-153.262985 098 01524
AK71 25   70.909790-153.221451 278 01524
AK75 02   65.903580-161.934677 039 01183
AK75 20   65.911728-161.917923 219 01183
AL05 04   32.216061 -85.476956 041 01524
AL05 22   32.226611 -85.466611 221 01524
AL44 09   32.968181 -87.640564 090 00626
AL44 18   32.968181 -87.640564 180 00732
AL44 27   32.968181 -87.640564 270 00626
AL44 36   32.968181 -87.640564 360 00732
ANYN 12   -0.541572 166.912183 130 02150
ANYN 30   -0.553078 166.925692 310 02150
AYBK 04   -5.427050 154.667483 047 01559
AYBK 22   -5.417533 154.677950 227 01559
AYBU 15   -7.221183 146.651250 153 01333
AYBU 33   -7.221183 146.651250 333 01333
AYCH 03   -6.027750 144.967733 036 01026
AYCH 21   -6.020183 144.973300 216 01026
AYDU 14   -9.082433 143.203367 135 01400
AYDU 32   -9.091350 143.212400 315 01400
AYGA 17L  -6.074822 145.391681 175 01431
AYGA 17R  -6.075447 145.390650 175 01646
AYGA 35L  -6.087897 145.391747 355 01646
AYGA 35R  -6.087172 145.392767 355 01431
AYGB 14   -6.874333 143.718467 136 01050
AYGB 32   -6.881350 143.725317 316 01050
AYGN 09  -10.308933 150.326567 100 01690
